Job Title,Company,Location,Category
Various Positions,AMDA Nepal,"Kathmandu, Sunsari, Jhapa, Itahari","Public Health, Social Science, Development and Project"
Various Positions,DALAAN NEPAL,Dhanusha,"Accounting and Finance, Development and Project, Finance & Administration, Development / NGO"
Tender Notice for Bulk Purchase of Medicines and Medical Supplies,Project Propel Lalitpur Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO"
Communication Technical Officer based in Surkhet (Women Candidate only - Re-vacancy),People in  Need,Surkhet,Communication
Business and Market Systems Trainee,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Dhangadhi,"Engineering - Agriculture, Development / INGO, Business Management"
Project Coordinator,Dalit Help Society,Bajhang,"Development and Project, NGO/INGO/Social work"
Program Finance Officer,JuRI-Nepal,Lalitpur,"Development and Project, Finance & Administration"
Associate Program Officer,Heifer Project Nepal,Lalitpur,Development / INGO
Programme Operations Associate,Street Child of Nepal,Lalitpur,"Education, Social Science, Development and Project"
Terms of Reference for Management and Leadership/Executive Coaching,Heifer International Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
MEAL Officer,CSSD Kailali,"Tikapur,Kailali","Development and Project, Development / NGO"
Multiple Positions,Nepal Integrated Development Society(NIDS),Sarlahi,"Public Health, Social Science, Development and Project, Finance & Administration, Development studies, Management"
DISTRICT COORDINATOR,Mercy Corps,"Agriculture, Development and Project",Kathmandu
CALL FOR CONSULTANT ROSTER,Nepal Water for Health (NEWAH),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Gorkha
Program Officer for Literacy Program /Social Mobilier,UN Nepal Gorkha,"Development and Project, Development / NGO",Sindhuli
Notice for Closure,Relief Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid",Sindhuli
Admin and Finance Officer,Relief Nepal,"Accounting and Finance, Finance & Administration, Development / NGO",Kapilvastu
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Regional Business Development Specialist for South Asia Programme,Handicap International,"Development and Project, Development studies, Management","Terai Region, Janakpur"
Call for Consultancy Service from Individuals/Firms,AANGAN,"Development and Project, Expression of Interests, Tender Notice, Bid",Banke
Staff Nurse,International Nepal Fellowship,"Development and Project, Nursing",Kathmandu
LITERACY MANAGER,Room to Read Nepal,"Education, Development and Project",Kapilvastu
Trainee (Nutrition),Heifer Project Nepal,"Development and Project, Development / INGO",Kathmandu
MEAL Specialist (Female Only),NGO Federation of Nepal,Development and Project,Kathmandu
Senior Officer – GESI (Gender Equity and Social Inclusion),ANSAB Nepal,"Agriculture, Social Science, Development and Project, Development studies, Management, Forestry",Kathmandu
Invitation for Sealed Quotation for supply of Portable Ultrasound Machine Set,Green Tara Nepal (GTN),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO","Terai Region, Kapilvastu, Banke"
Various Positions,Siddhartha Social Development Center,"Development and Project, NGO/INGO/Social work",Lalitpur
National Consultant – Innovative Finance Expert,UNDP,"Administrative / Management, Development and Project","Kathmandu, Sarlahi"
Various Positions,Prerana,Development and Project,Surkhet
Finance and Admin Officer,The Organic Valley Pvt Ltd,"Accounting and Finance, Finance & Administration, Development / NGO",Kathmandu
Project Officer,Peace Brigades International Nepal,"Development and Project, NGO/INGO/Social work",Chitwan
Gender and Disability Inclusion Advisor,Nepal Disabled Women Association,"Development and Project, NGO/INGO/Social work",Lalitpur
Technical Support Representative,Bhagya Laxmi International Pvt. Ltd.,"Computer - Hardware / Network, Diploma in Computer Engineering",Rautahat
GEDSI and Protection Coordinator,World Vision International Nepal,"Development and Project, Development / INGO",Kathmandu
Request for Proposal for Domestic Air Ticketing Service,USAID Biodiversity (Jal Jangal),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Chitwan
Technical Officer - Inclusive Education,Handicap International,"Development / NGO, Development / INGO",Kathmandu
"Invitation of Sealed Quotation for supply, delivery of Medical Equipment and Supplies",Green Tara Nepal (GTN),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Bardiya
Admin Finance Officer (AFO),Sonaha Bikash Samaj,"Accounting and Finance, Finance & Administration, Development / NGO",Kathmandu
Expression of Interest (EOI ) for Vendor Listing,U.S. Pharmacopeial Convention,"Expression of Interests, Tender Notice, Bid",Kathmandu
Request for Quotation – Ref No. UNDP-NPL-00337: For Supply and Delivery of Refrigeration & Air Conditioning (RAC) Equipment,UNDP,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Database administrator
Data Maintenance and Support Associate,IUCN Nepal,"Information Technology, Social Science, Development and Project",Kathmandu
Integrated Knowledge Management Specialist,World Vision International Nepal,"Accounting and Finance, Hospitality / Hotel, Auditing",Kathmandu
Manager Internal Audit and Cost Control,Soaltee Hotel Limited,Engineering - Architecture,Kathmandu
Draft person,Soaltee Hotel Limited,Engineering - Architecture,Kathmandu
Architect,Soaltee Hotel Limited,"Administrative / Management, law","Kailali, Sudurpashchim Province"
Manager Legal,Soaltee Hotel Limited,"Social Science, Development and Project, Development studies, Management",Lalitpur
Various Positions,National Environment and Equity Development Society (NEEDS Nepal),"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Request for Proposal (RFP): External Evaluators/Consulting firms for the Impact Assessment of the SIKAI project,VSO Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid","Bajhang, Bajura"
TENDER NOTICE,Save the Children,"Development and Project, NGO/INGO/Social work",Kathmandu
Project Coordinator / Technical Associate / Education Mobilizer,Seto Gurans Child Development Service,"Administrative / Management, Marketing",Kathmandu
Various Position,International Manpower Recruitment Pvt Ltd,"Development and Project, Development / NGO",Kathmandu
Training Announcement: Call for Participation,Green Foundation Nepal,Research,Jajarkot
Research Coordinator- Climate Justice Programme,Digo Bikas Institute,"Engineering - Civil, Development and Project, Finance & Administration",Jajarkot
कर्मचारी आवश्यकता सम्बन्धी सूचना,"Hilly Region Development Campaign (HRDC), Jajarkot","Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kanchanpur
शिलबन्दी बोलपत्र आह्वानको सुचना,"Hilly Region Development Campaign (HRDC), Jajarkot","Development and Project, Expression of Interests, Tender Notice, Bid",Parsa
Call for Expression of Interest (EOI),NNSWA,"Development and Project, Expression of Interests, Tender Notice, Bid",Nuwakot
Request for Sealed Quotation,Divya Development Resource Centre Parsa,"Agriculture + Livestock, Accounting and Finance, Development and Project, Development / NGO","Kathmandu, Janakpur, Lahan, Narayanghat"
कर्मचारी आवश्यकता सम्बन्धि सूचना,"Community & Rural Development Society Nepal, CARDSN","Business Development, Development / Administrative, Marketing Representatives",Lalitpur
Market Representatives / Business Development Executive,HIMAL HERBACEUTICALS PVT LTD,"Mobile App Development, Software Development",Terai Region
Flutter Mobile Application Developer (Mid-Level),Aria Technologies,"Development and Project, Development / Administrative, NGO/INGO/Social work",Dhanusha
Various Positions,Kamaiya Mahila Jagaran Samaj Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO","Dailekh, Jajarkot"
Consultancy Service for Policy Formulation,Aasaman Nepal,"Development and Project, Development / NGO, Engineering",Kathmandu
Program  Coordinator – Engineer,SOSEC Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid","Mugu, Bajura, Humla"
Request for Quotation,IOM Nepal,"Development and Project, Nursing",Nepalgunj
Auxiliary Nurse Midwife (ANM),PHASE Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
बोलपत्र आह्वान,Bheri Environmental Excellence Group (BEE-Group) Banke,"Development and Project, Development / NGO, Forestry",Kathmandu
Thematic Head – Food Security and Economic Development,Shechen Karuna Nepal,"Education, Development and Project","Kathmandu, Janakpur, Butwal, Dhangadhi, Dhanusha, Bara, Bardiya"
Request for Applications: Consultant – Capacity building in Municipality School Education Governance,British Council,"Public Health, Social Science, Development and Project","Bajhang, Sudurpashchim Province"
Various Positions,NFCC,"Development and Project, Development / NGO",Lalitpur
Terms of Reference (TOR) for Consultant: Development of Ending Child Marriage Strategy,NFCC,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
INVITATION FOR PARTICIPATION IN TRAINING,MinErgy Private Limited,"Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
REQUEST FOR PROPOSAL,Chemonics International,"Development and Project, Expression of Interests, Tender Notice, Bid",Dhading
INVITATION FOR BID,Action For Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
EOI for Baseline Study - P8003,"Integrated Community Development Campaign, ICDC Nepal Dhadingbensi, Dhading","Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
Request for Proposals: ACT Video,Deloitte,"Engineer, Software Development","Dhangadhi, Kailali"
QA Engineer,DIGU,"Development and Project, Development / NGO",Kathmandu
Program Manager,Youth Alliance for Development,"Engineering - Software, Software Development",Kathmandu
Senior Frontend Developer,DIGU,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO",Lalitpur
Request for Proposal (RFP) for Office Security Guard Services,USAID Karnali Water Activity,"Social Science, Development and Project, Human Rights",Bardiya
Senior Programme Officer (Research and Learning),International Alert,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
शिलबन्दी कोटेशन आह्वान सम्बन्धी सुचना,BASE Organization (Backward Society Education),"Media / Journalism, Development and Project, Expression of Interests, Tender Notice, Bid",Kathmandu
Terms of Reference (TOR) For Media Fellowship Program for Young Journalists,ActionAid International Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Lalitpur
Call for Applications for Different Awards,Environment and Public Health Organization,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO",
Request for Quotation for Safari/Hiking Shirt,Heifer International Nepal,,Banke
Call for Research Proposals: Ecology of Smooth- Coated Otter,WWF Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",
"Finance and Operations Director | Kathmandu, Nepal | 2024",Chemonics International,Kathmandu,"Photography, Research, Research Officer, Environment and climate"
Invitation for Bids,Maiti Nepal,Kathmandu,"Administrative / Management, Development and Project"
Health Systems Strengthening (HSS) Technical Director,Chemonics International,Kathmandu,"Development and Project, Development / NGO, NGO/INGO/Social work"
Request for Proposal - Research Consultant,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Birendranagar Surkhet,"Social Science, Development and Project, Counseling / PsychoSocial"
Human Resource Officer,Maiti Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Senior Program Officer,Maiti Nepal,Karnali Province,"Photography, Leadership, Development and Project, Video Production"
Children Home Coordinator (Female Candidates only),Kopila Valley Sewa Samaj,Lalitpur,"Development and Project, NGO/INGO/Social work"
Request for Proposal to Develop Capability Statement,﻿﻿﻿﻿﻿﻿CBM Global Nepal Country Office,Kathmandu,"Development and Project, Driver"
Terms of Reference (ToR): Consultancy Service to document Case story and documentation of the projects,Welthungerhilfe,,Kathmandu
Project Coordinator,Yuwalaya,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO",Kathmandu
Bus Driver,Karkhana Samuha,Accounting and Finance,Kathmandu
Call for expression of interest (EOI) to  Develop and deliver capacity-building action modules to enhance capacity of media houses and journalists,International Alert,"Development and Project, Environment and climate",Lalitpur
Request for Proposal (RFP): Scoping Study for Alternative Water Supply Service Operating and Management Model,USAID Karnali Water Activity,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO","Lalitpur, Janakpurdham"
Accountant,Nepalland I.T Solution Pvt Ltd,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
DISASTER RISK REDUCTION (DRR) POLICY AND ADVOCACY SENIOR SPECIALIST,Mercy Corps,"Development and Project, Development / INGO",Kathmandu
Terms of Reference (TOR) for Youth4Humanity Initiative,Habitat Nepal,Administrative / Management,Kathmandu
EOI for Facilitators,Aasaman Nepal,Administrative / Management,Terai Region
Exam Invigilator,British Council,,Lalitpur
Program and Communications Coordinator,Body & Data,"Development and Project, Expression of Interests, Tender Notice, Bid",Rolpa
Operations and Human Resource Manager,Body & Data,"Development and Project, Expression of Interests, Tender Notice, Bid",Kapilvastu
शिलबन्दि बोलपत्र अवहान सम्बन्धी १५ दिने सुचना,SabalNepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Bajhang
REQUEST FOR PROPOSAL (Event Management - National Level Exit Workshop),USAID Tayar Nepal,"Development and Project, NGO/INGO/Social work",Gulmi
Final Evaluation - Terms of Reference,Welthungerhilfe,"Development and Project, Development / INGO",Lalitpur
सिलबन्दी बोलपत्र आह्वानको सुचना,Lumbini Integrated Development Organization,"Development and Project, Development / INGO",Rautahat
Project Coordinator / Technical Associate / Education Mobilizer,Saipal Development Society,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Lalitpur
Community Facilitator,Nepal Red Cross Society - Lumbini Province Chapter,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Program Coordinator-MELS,Heifer Project Nepal,"Photography, Development and Project",Lalitpur
आपूर्ति तथा सप्लाई सम्बन्धि सुचीकृत हुने सूचना,Mandwi,Development and Project,Itahari
Sealed Quotations for Visibility & IEC Materials,FEDO,"Social Marketer, Social media marketing, Data collection","Itahari, Sunsari"
Scope of Work - Photographer for Urja Nepal,Deloitte Consulting Overseas Projects LLC,"Engineer, Engineering - Mechanical, Engineering",Lalitpur
ADVERTISEMENT OF BUSINESS OPPORTUNITIES,FEDO,Hospitality / Hotel,Kathmandu
Social Media Manager/Data Entry,Ashish Servicing Centre,"Education, Public Health, Social Science, Development and Project, NGO/INGO/Social work","Kathmandu, Janakpur"
Mechanical/Automobile Engineer,Ashish Servicing Centre,"Development and Project, Research",Mahottari
Crew Member (All-rounder) - Female,JobsNepal.com Direct Recruitment Service,"Development and Project, Expression of Interests, Tender Notice, Bid",Sarlahi
Program Officer,Hamro Palo,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Kathmandu
Vacancy Announcement for Various Positions,CARE Nepal,"Development / NGO, Development / INGO",Kathmandu
आपुर्ति/सप्लाई सम्बन्धि सुचीकृत हुने सूचना,Integrated Rural Development Society,"Development and Project, Expression of Interests, Tender Notice, Bid","New Baneshwor, Kathmandu"
आपुर्ति /सप्लाई सम्बन्धि सुचीकृत हुने सूचना,Rastriya Rojgar Prawardhan Kendra RRPK Lalbandi,"Database Programming, Web Designing & Programming, Computer - Programming, Web Designing and Programming",Banke
Various Positions,FHI 360 Nepal,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / NGO",Rautahat
Expression of Interest for Vendor Listing,Rural Oriented Youth Movement Nepal (ROYM Nepal),"Administrative / Management, Development and Project","Kathmandu, Dolpa"
ASP .NET DEVELOPER (MID-LEVEL),Uranus Tech Nepal Pvt Ltd,"Development and Project, Research, Development / NGO",Kathmandu
शिलबन्दी बोलपत्र आह्वान गरिएको सूचना,Bheri Environmental Excellence Group (BEE-Group) Banke,Information Technology,Kathmandu
Admin Associate,Campaign Nepal,"Front Desk / Reception, Documentation Officer",Kathmandu
Freelance Work Opportunity- Freelance Researcher,Centre for Agro Ecology and Development,"Sales, Travel & Ticketing, Marketing",Kathmandu
UI / UX Designer,Vaidya's Organisation of Industries and Trading Houses (VOITH),"Administrative / Management, Business Development, Business Administration",Dhading
Receptionist & Documentation Officer (Female),JobsNepal.com Direct Recruitment Service,"Development and Project, Development / NGO",Kathmandu
Sales and Marketing (Male),JobsNepal.com Direct Recruitment Service,"Development and Project, Finance & Administration",Janakpurdham
Assistant Director - Marketing and Business Development,NCA College of Management,"Education, Public Health, Social Science, Development and Project, Development studies, Management",Kathmandu
Education Development Officer,REED Nepal,"Social Science, Development and Project, Expression of Interests, Tender Notice, Bid",Lalitpur
Admin & Finance Officer (AFO),Support Nepal,Development and Project,Kathmandu
Project Coordinator (PC),Support Nepal,"Development and Project, Finance & Administration",Lalitpur
Request for proposal – Ref No. UNDP-NPL-00335: Designing and scaling Chatbot for Promoting E-governance and Better Government Service Delivery in Nepal,UNDP,Development and Project,
Business Development and Communication Senior Specialist,Mercy Corps,Kathmandu,"Accounting and Finance, Finance & Administration, Business Administration"
Financial Management and Compliance Senior Advisor,Mercy Corps,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
"PROGRAMS, ORGANIZATIONAL DEVELOPMENT AND QUALITY SENIOR ADVISOR",Mercy Corps,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Vendor Listing,RUDEC Nepal,Physiotherapist,"Bagmati Province, Lumbini Province, Koshi Pradesh"
Admin Officer / Senior Accountant,Reputed travel company,Development / INGO,Lalitpur
Office Space Sourcing and Scouting,SAPPROS Nepal,"Development and Project, Development / INGO",Development / INGO
Consultancy service for Video Documentary,Handicap International,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid, Development / INGO"
Physiotherapist,Siddhi M. Foundation / Siddhi M. Hospital,Kathmandu,Accounting and Finance
"Field Monitor (Women, and from discriminated groups only) - 3 position(s)",Helvetas Nepal,Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Procurement and Account Assistant,Heifer International Nepal,Lalitpur,Development and Project
Call for Consultant (Roaster),National Consulting Group Nepal,Kathmandu,"Development and Project, Expression of Interests, Tender Notice, Bid"
Request for Proposal (RFP) for Develop and Air Radio Public Service Announcements,Winrock International (Feed the Future Nepal USAID Agricultural Inputs),Lalitpur,"Development and Project, Expression of Interests, Tender Notice, Bid"
Accountant (Male),JobsNepal.com Direct Recruitment Service,"Kathmandu, Banepa, Nala","Sales, Engineering - Electrical, Engineering - Mechanical, Marketing Representatives"
INVITATION FOR BID,Beautiful Coffee Nepal,Lalitpur,Other / Misc.
